FILM;Fandango_Ratingvalue;RT_user_norm;Metacritic_user_nom;IMDB_norm
Avengers: Age of Ultron (2015);4.5;4.3;3.55;3.9
Cinderella (2015);4.5;4;3.75;3.55
Ant-Man (2015);4.5;4.5;4.05;3.9
Do You Believe? (2015);4.5;4.2;2.35;2.7
Hot Tub Time Machine 2 (2015);3;1.4;1.7;2.55
The Water Diviner (2015);4;3.1;3.4;3.6
Irrational Man (2015);3.5;2.65;3.8;3.45
Top Five (2014);3.5;3.2;3.4;3.25
Shaun the Sheep Movie (2015);4;4.1;4.4;3.7
Love & Mercy (2015);4;4.35;4.25;3.9
Far From The Madding Crowd (2015);4;;3.75;3.6
Black Sea (2015);3.5;3;3.3;3.2
Leviathan (2014);3.5;3.95;3.6;3.85
Unbroken (2014);4.1;3.5;3.25;3.6
The Imitation Game (2014);4.6;4.6;4.1;4.05
Taken 3 (2015);4.1;2.3;2.3;3.05
Ted 2 (2015);4.1;2.9;3.25;3.3
Southpaw (2015);4.6;4;4.1;
Night at the Museum: Secret of the Tomb (2014);4.1;2.9;2.9;3.15
Pixels (2015);4.1;2.7;2.65;2.8
McFarland, USA (2015);4.6;4.45;3.6;3.75
Insidious: Chapter 3 (2015);4.1;2.8;3.45;3.15
The Man From U.N.C.L.E. (2015);4.1;4;3.95;3.8
Run All Night (2015);4.1;2.95;3.65;3.3
Trainwreck (2015);4.1;3.7;3;3.35
Selma (2014);4.6;4.3;3.55;3.75
Ex Machina (2015);4.1;4.3;3.95;3.85
Still Alice (2015);4.1;4.25;3.9;3.75
Wild Tales (2014);4.1;4.6;4.4;4.1
The End of the Tour (2015);4.1;4.45;3.75;3.95
Red Army (2015);4.1;4.3;3.7;3.85
When Marnie Was There (2015);4.1;4.45;3.2;3.9
The Hunting Ground (2015);4.1;3.6;3.9;3.75
The Boy Next Door (2015);3.6;1.75;2.75;2.3
Aloha (2015);3.1;;2;2.75
The Loft (2015);3.6;2;1.2;3.15
5 Flights Up (2015);3.6;2.35;3.4;3.05
Welcome to Me (2015);3.6;2.35;3.45;2.95
Saint Laurent (2015);3.1;2.25;3.4;3.15
Maps to the Stars (2015);3.1;2.3;2.9;3.15
I'll See You In My Dreams (2015);3.6;3.5;3.45;3.45
Timbuktu (2015);3.6;3.9;3.45;3.6
About Elly (2015);3.6;4.3;4.8;4.1
The Diary of a Teenage Girl (2015);3.6;4.05;3.15;3.5
Kingsman: The Secret Service (2015);4.2;4.2;3.95;3.9
Tomorrowland (2015);3.7;2.65;3.2;3.3
The Divergent Series: Insurgent (2015);4.2;3.05;2.7;3.2
Annie (2014);4.2;3.05;2.4;2.6
Fantastic Four (2015);2.7;1;1.25;2
Terminator Genisys (2015);4.2;3;;3.45
Pitch Perfect 2 (2015);4.2;3.4;2.85;3.35
Entourage (2015);4.2;3.4;2.6;3.55
The Age of Adaline (2015);4.2;3.4;3.7;3.65
Hot Pursuit (2015);3.7;1.85;1.85;2.45
The DUFF (2015);4.2;3.4;3.2;3.3
Black or White (2015);4.2;3.4;3.95;3.3
Project Almanac (2015);3.7;2.3;2.7;3.2
Ricki and the Flash (2015);3.7;2.65;3.5;3.1
Seventh Son (2015);3.2;1.75;1.95;2.75
Mortdecai (2015);3.2;1.5;1.6;2.75
Unfinished Business (2015);3.2;1.35;1.9;2.7
American Ultra (2015);3.7;2.6;3.4;3.25
True Story (2015);3.2;2.05;2.85;3.15
Child 44 (2015);3.7;2.2;2.65;3.2
Dark Places (2015);3.7;1.65;3.95;3.15
Birdman (2014);3.7;3.9;4;3.95
The Gift (2015);3.7;3.95;4.15;3.8
Unfriended (2015);2.7;1.95;2.9;2.95
Monkey Kingdom (2015);4.2;3.85;3.75;3.65
Mr. Turner (2014);3.2;2.8;3.3;3.45
Seymour: An Introduction (2015);4.2;4.35;3;3.85
The Wrecking Crew (2015);4.2;4.2;3.5;3.9
American Sniper (2015);4.8;4.25;3.3;3.7
Furious 7 (2015);4.8;4.2;3.4;3.7
The Hobbit: The Battle of the Five Armies (2014);4.3;3.75;3.5;3.75
San Andreas (2015);4.3;2.9;2.75;3.25
Straight Outta Compton (2015);4.8;4.7;3.65;4.2
Vacation (2015);3.8;2.75;3.1;3.15
Chappie (2015);3.8;2.85;3.7;3.5
Poltergeist (2015);2.8;1.2;1.85;2.5
Paper Towns (2015);3.8;2.85;3.1;3.45
Big Eyes (2014);3.8;3.45;3.75;3.5
Blackhat (2015);2.8;1.25;2.7;2.7
Self/less (2015);3.8;2.55;4.2;3.3
Sinister 2 (2015);3.3;1.7;2.5;2.75
Little Boy (2015);4.3;4.05;2.95;3.7
Me and Earl and The Dying Girl (2015);4.3;4.45;4.2;4.1
Maggie (2015);3.3;1.6;3.25;2.8
Mad Max: Fury Road (2015);4.3;4.4;4.35;4.15
Spy (2015);4.3;4.1;3.15;3.65
The SpongeBob Movie: Sponge Out of Water (2015);3.3;2.75;3.25;3.05
Paddington (2015);4.3;4.05;4.1;3.6
Dope (2015);4.3;4.3;3.6;3.75
What We Do in the Shadows (2015);4.3;4.3;4.15;3.8
The Overnight (2015);3.3;3.25;4.3;3.45
The Salt of the Earth (2015);4.3;4.5;3.9;4.2
Song of the Sea (2014);4.3;4.6;4.1a;4.1
Fifty Shades of Grey (2015);3.9;2.1;1.6;2.1
Get Hard (2015);3.9;2.4;1.9;3.05
Focus (2015);3.9;2.7;3.1;3.3
Jupiter Ascending (2015);3.4;2;2.25;2.75
The Gallows (2015);2.9;1.35;3.5;2.2
The Second Best Exotic Marigold Hotel (2015);3.9;3.15;3.05;3.3
Strange Magic (2015);3.4;2.5;2.65;2.85
The Gunman (2015);3.4;1.7;2.15;2.9
Hitman: Agent 47 (2015);3.9;2.45;1.65;2.95
Cake (2015);3.4;2.35;3.2;3.25
The Vatican Tapes (2015);2.9;1.05;2.7;2.3
A Little Chaos (2015);3.9;2.35;3.5;3.2
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015);3.9;3.45;2.3;3.55
Escobar: Paradise Lost (2015);3.9;2.6;3.45;3.3
Into the Woods (2014);3.4;2.5;3.05;3
It Follows (2015);2.9;3.25;3.75;3.45
Inherent Vice (2014);2.9;2.6;3.7;3.35
A Most Violent Year (2014);3.4;3.45;3.5;3.55
While We're Young (2015);2.9;2.6;3.35;3.2
Clouds of Sils Maria (2015);3.4;3.35;3.55;3.4
Testament of Youth (2015);3.9;3.95;3.95;3.65
Infinitely Polar Bear (2015);3.9;3.8;3.95;3.6
Phoenix (2015);3.4;4.05;4;3.6
The Wolfpack (2015);3.4;3.65;3.5;3.55
The Stanford Prison Experiment (2015);3.9;4.35;4.25;3.55
Tangerine (2015);3.9;4.3;3.65;3.7
Magic Mike XXL (2015);4.4;3.2;2.7;3.15
Home (2015);4.4;3.25;3.65;3.35
The Wedding Ringer (2015);4.4;3.3;1.65;3.35
Woman in Gold (2015);4.4;4.05;3.6;3.7
The Last Five Years (2015);4.4;3;3.45;3
Mission: Impossible – Rogue Nation (2015);4.4;4.5;4;3.9
Amy (2015);4.4;4.55;4.4;4
Jurassic World (2015);4.5;4.05;3.5;3.65
Minions (2015);4;2.6;2.85;3.35
Max (2015);4.5;3.65;2.95;3.5
Paul Blart: Mall Cop 2 (2015);3.5;1.8;1.2;2.15
The Longest Ride (2015);4.5;3.65;2.4;3.6
The Lazarus Effect (2015);3;1.15;2.45;2.6
The Woman In Black 2 Angel of Death (2015);3;1.25;2.2;2.45
Danny Collins (2015);4;3.75;3.55;3.55
Spare Parts (2015);4.5;4.15;3.55;3.6
Serena (2015);;;;2.7
Inside Out (2015);4.5;4.5;4.45;4.3
Mr. Holmes (2015);4;3.9;3.95;3.7
'71 (2015);3.5;4.1;3.75;3.6
Two Days, One Night (2014);3.5;3.9;4.4;3.7
Gett: The Trial of Viviane Amsalem (2015);3.5;4.05;3.65;3.9
Kumiko, The Treasure Hunter (2015);3.5;3.15;3.2;3.35
